Instance,Temps,UB,nb_iter,Solution
160_USA-road-d.COL.gr,2.575423002243042,24651.02,2,60/ 83/ 117/ 116/ 76/ 93/ 92/ 127/ 126/ 108/ 129
160_USA-road-d.NY.gr,0.2533748149871826,32640.039999999997,0,120/ 54/ 41/ 11/ 124/ 108/ 102/ 123/ 142/ 154
2300_USA-road-d.NY.gr,3.044347047805786,123256.84999999999,0,1785/ 1756/ 1555/ 1554/ 1806/ 1240/ 579/ 1421/ 1705/ 582/ 1810/ 856/ 697/ 866/ 507/ 1044/ 1070/ 1108/ 1082/ 1281/ 517/ 1054/ 2248/ 2042/ 1599/ 728/ 1057/ 1781/ 1753/ 1899/ 1418/ 1928/ 1974
600_USA-road-d.BAY.gr,3.377380847930908,34849.87,9,269/ 506/ 105/ 423/ 565/ 381/ 393/ 511/ 570/ 109/ 585/ 267/ 374/ 569/ 588
1000_USA-road-d.BAY.gr,3.92021107673645,57834.68000000001,13,659/ 657/ 799/ 978/ 616/ 629/ 579/ 355/ 300/ 354/ 112/ 218/ 559/ 875/ 943/ 720/ 395/ 918/ 754/ 786/ 993
600_USA-road-d.COL.gr,1.7720258235931396,40083.82000000001,1,83/ 559/ 489/ 308/ 214/ 373/ 458/ 180/ 125/ 462/ 201/ 595/ 346/ 260/ 389
1700_USA-road-d.BAY.gr,2.601606845855713,70557.79000000001,0,1456/ 1545/ 1161/ 1459/ 1225/ 502/ 938/ 1159/ 1692/ 1639/ 457/ 1674/ 424/ 330/ 1244/ 1213/ 1457/ 1424/ 1265/ 1402/ 1451/ 1572/ 1627
600_USA-road-d.NY.gr,0.9840238094329834,76742.90999999999,2,463/ 521/ 510/ 524/ 352/ 348/ 426/ 423/ 322/ 504/ 141/ 546/ 142/ 147/ 528/ 491/ 489/ 280/ 488
60_USA-road-d.BAY.gr,0.01306295394897461,10633.33,0,21/ 39/ 42/ 10/ 44/ 59
60_USA-road-d.COL.gr,0.1454620361328125,28910.780000000002,3,53/ 30/ 56/ 50/ 23/ 10/ 55/ 45/ 60
60_USA-road-d.NY.gr,0.011553049087524414,31775.839999999997,0,39/ 60/ 48/ 46/ 47/ 59/ 56
650_USA-road-d.BAY.gr,1.279392957687378,34849.87,9,269/ 506/ 105/ 143/ 476/ 381/ 393/ 358/ 445/ 321/ 60/ 375/ 374/ 569/ 588
2400_USA-road-d.BAY.gr,5.779221057891846,77192.09999999999,0,1788/ 1735/ 1177/ 1743/ 1459/ 1900/ 502/ 1411/ 503/ 2089/ 2027/ 457/ 946/ 1272/ 330/ 1621/ 520/ 1962/ 1898/ 1913/ 1891/ 2178/ 2277/ 1627/ 2276/ 2300
650_USA-road-d.COL.gr,1.9962260723114014,40083.82000000001,1,83/ 559/ 215/ 578/ 292/ 492/ 236/ 332/ 625/ 171/ 304/ 469/ 281/ 260/ 389
650_USA-road-d.NY.gr,0.3968348503112793,55303.06,3,576/ 385/ 382/ 335/ 247/ 288/ 598/ 289/ 322/ 546/ 193/ 505/ 304/ 300/ 502/ 481/ 621
