Instance,Temps,UB,nb_iter,chemin
2300_USA-road-d.NY.gr,1.5551319122314453,123256.84999999999,0,1785/ 1756/ 1555/ 1554/ 1806/ 1240/ 579/ 1421/ 1705/ 582/ 1810/ 856/ 697/ 866/ 507/ 1044/ 1070/ 1108/ 1082/ 1281/ 517/ 1054/ 2248/ 2042/ 1599/ 728/ 1057/ 1781/ 1753/ 1899/ 1418/ 1928/ 1974
160_USA-road-d.COL.gr,2.1007790565490723,24651.02,2,60/ 83/ 117/ 116/ 76/ 93/ 92/ 127/ 126/ 108/ 129
1000_USA-road-d.BAY.gr,2.3117611408233643,71133.86,4,659/ 657/ 799/ 978/ 976/ 888/ 502/ 490/ 975/ 884/ 218/ 559/ 875/ 943/ 992/ 520/ 918/ 754/ 786/ 993
600_USA-road-d.BAY.gr,2.310487985610962,48300.0,5,269/ 545/ 458/ 474/ 273/ 423/ 565/ 381/ 393/ 511/ 570/ 109/ 465/ 514/ 534/ 589/ 569/ 588
160_USA-road-d.NY.gr,0.11162590980529785,32640.039999999997,0,120/ 54/ 41/ 11/ 124/ 108/ 102/ 123/ 142/ 154
600_USA-road-d.COL.gr,0.7920410633087158,40845.5,0,83/ 559/ 489/ 308/ 214/ 373/ 458/ 180/ 574/ 201/ 595/ 346/ 260/ 389
600_USA-road-d.NY.gr,0.3467249870300293,86185.34999999999,0,463/ 521/ 510/ 464/ 582/ 494/ 428/ 426/ 423/ 322/ 504/ 141/ 546/ 142/ 147/ 528/ 491/ 489/ 280/ 488
60_USA-road-d.BAY.gr,0.015396833419799805,10633.33,0,21/ 39/ 42/ 10/ 44/ 59
60_USA-road-d.COL.gr,0.006021022796630859,28910.780000000002,3,53/ 30/ 56/ 50/ 23/ 10/ 55/ 45/ 60
60_USA-road-d.NY.gr,0.006440877914428711,31775.839999999997,0,39/ 60/ 48/ 46/ 47/ 59/ 56
1000_USA-road-d.COL.gr,1.6049480438232422,38423.259999999995,0,213/ 237/ 687/ 681/ 977/ 659/ 609/ 110/ 292/ 564/ 246/ 280/ 543/ 576/ 666
650_USA-road-d.BAY.gr,0.3735790252685547,48300.0,5,269/ 602/ 458/ 349/ 641/ 143/ 476/ 381/ 393/ 358/ 445/ 321/ 250/ 279/ 534/ 589/ 569/ 588
1700_USA-road-d.BAY.gr,1.9483418464660645,70557.79000000001,0,1456/ 1545/ 1161/ 1459/ 1225/ 502/ 938/ 1159/ 1692/ 1639/ 457/ 1674/ 424/ 330/ 1244/ 1213/ 1457/ 1424/ 1265/ 1402/ 1451/ 1572/ 1627
650_USA-road-d.COL.gr,0.5156230926513672,40845.5,0,83/ 559/ 215/ 578/ 292/ 492/ 236/ 332/ 351/ 304/ 469/ 281/ 260/ 389
1000_USA-road-d.NY.gr,0.5411899089813232,71088.80000000002,2,576/ 454/ 751/ 990/ 320/ 640/ 360/ 910/ 280/ 585/ 697/ 864/ 854/ 694/ 584/ 328/ 510/ 863/ 517/ 759/ 621
100_USA-road-d.BAY.gr,0.013870954513549805,10857.06,1,59/ 44/ 16/ 11/ 14/ 41/ 74
100_USA-road-d.COL.gr,0.014312982559204102,25320.15,3,81/ 59/ 62/ 32/ 74/ 79/ 92/ 93/ 97/ 49/ 71/ 83
100_USA-road-d.NY.gr,0.026208877563476562,33931.04,0,51/ 42/ 54/ 15/ 7/ 16/ 68/ 55/ 96
650_USA-road-d.NY.gr,0.9739220142364502,68379.91,1,576/ 385/ 382/ 335/ 247/ 288/ 598/ 289/ 322/ 546/ 193/ 505/ 371/ 480/ 646/ 621
2400_USA-road-d.BAY.gr,4.013329982757568,77192.09999999999,0,1788/ 1735/ 1177/ 1743/ 1459/ 1900/ 502/ 1411/ 503/ 2089/ 2027/ 457/ 946/ 1272/ 330/ 1621/ 520/ 1962/ 1898/ 1913/ 1891/ 2178/ 2277/ 1627/ 2276/ 2300
700_USA-road-d.BAY.gr,0.3202941417694092,60874.020000000004,2,664/ 646/ 645/ 590/ 502/ 535/ 540/ 531/ 287/ 373/ 537/ 686/ 682/ 667/ 700/ 458/ 684/ 677
1100_USA-road-d.BAY.gr,1.684377908706665,82475.0,1,820/ 616/ 896/ 792/ 970/ 1097/ 582/ 901/ 902/ 861/ 457/ 850/ 424/ 926/ 989/ 859/ 454/ 975/ 786/ 697/ 890/ 1038/ 1082/ 1099
700_USA-road-d.COL.gr,0.8185839653015137,40845.5,0,83/ 559/ 215/ 578/ 292/ 247/ 306/ 126/ 351/ 179/ 159/ 211/ 352/ 389
700_USA-road-d.NY.gr,0.5555710792541504,68379.91,1,576/ 385/ 596/ 534/ 514/ 686/ 681/ 498/ 611/ 347/ 127/ 234/ 220/ 622/ 478/ 621
750_USA-road-d.BAY.gr,0.4061610698699951,61068.46000000001,1,664/ 646/ 645/ 590/ 450/ 570/ 358/ 531/ 493/ 512/ 537/ 479/ 682/ 667/ 724/ 678/ 684/ 677
1100_USA-road-d.COL.gr,2.0329251289367676,42766.5,0,88/ 238/ 331/ 212/ 205/ 568/ 406/ 599/ 652/ 345/ 1043/ 528/ 554/ 529/ 1053
750_USA-road-d.COL.gr,0.8669040203094482,40845.5,0,83/ 431/ 489/ 578/ 393/ 333/ 279/ 658/ 702/ 59/ 641/ 211/ 352/ 389
1100_USA-road-d.NY.gr,0.5289168357849121,70898.23000000001,1,621/ 646/ 721/ 1053/ 917/ 589/ 1017/ 442/ 507/ 866/ 697/ 585/ 641/ 696/ 581/ 324/ 928/ 443/ 959/ 1095/ 1066
