1000_USA-road-d.BAY.gr,2.0046119689941406,40117.016449999996,40117.016449999996
1000_USA-road-d.COL.gr,0.6511459350585938,24068.00802,24068.00802
1000_USA-road-d.NY.gr,0.7469041347503662,36248.02457,36248.02457
100_USA-road-d.BAY.gr,0.04166102409362793,8818.01454,8818.01454
100_USA-road-d.COL.gr,0.04770803451538086,18930.02938,18930.02938
100_USA-road-d.NY.gr,0.016531944274902344,15274.017440000001,15274.017440000001
1100_USA-road-d.BAY.gr,12.91965389251709,54157.02705999999,54157.02705999999
1100_USA-road-d.COL.gr,4.3029139041900635,34075.01551,34075.01551
1100_USA-road-d.NY.gr,2.4808859825134277,49351.01479,49351.01479
1200_USA-road-d.BAY.gr,1.3925299644470215,62095.04313,62095.04313
1200_USA-road-d.COL.gr,5.712692975997925,34075.01386000001,34075.01386000001
1200_USA-road-d.NY.gr,1.0696661472320557,59590.053139999996,59590.053139999996
120_USA-road-d.BAY.gr,0.011398792266845703,10034.00841,10034.00841
120_USA-road-d.COL.gr,0.012197017669677734,18930.02657,18930.02657
120_USA-road-d.NY.gr,0.06373190879821777,18916.02332,18916.02332
1300_USA-road-d.BAY.gr,5.763154029846191,60392.03067000001,60386.73013900001
1300_USA-road-d.COL.gr,6.407517194747925,32664.005660000003,32664.005660000003
1300_USA-road-d.NY.gr,1.1040310859680176,55547.06143,55547.06143
1400_USA-road-d.BAY.gr,34.948681116104126,67712.06153,67711.54310640001
1400_USA-road-d.COL.gr,8.539000034332275,32664.00994,32664.00994
1400_USA-road-d.NY.gr,3.699894905090332,55490.0467,55490.0467
140_USA-road-d.BAY.gr,0.03658699989318848,12169.01255,12169.01255
140_USA-road-d.COL.gr,0.009104013442993164,18301.02472,18301.02472
140_USA-road-d.NY.gr,0.0942530632019043,25498.012160000002,25498.012160000002
1500_USA-road-d.BAY.gr,339.1461429595947,67185.03607,67183.39829888886
1500_USA-road-d.COL.gr,9.377449989318848,32664.0035,32664.0035
1500_USA-road-d.NY.gr,1.2864599227905273,53912.04848,53912.04848
1600_USA-road-d.BAY.gr,311.9749867916107,69791.02455999999,69786.950264151
1600_USA-road-d.COL.gr,6.737051963806152,34075.00475,34075.00475
1600_USA-road-d.NY.gr,1.917762041091919,53855.05311,53855.05311
160_USA-road-d.BAY.gr,0.0175020694732666,10983.0091,10983.0091
160_USA-road-d.COL.gr,0.013821840286254883,18301.0215,18301.0215
160_USA-road-d.NY.gr,0.06868696212768555,19964.01131,19963.988989999994
1700_USA-road-d.BAY.gr,600.4529249668121,58405.02493,58208.284257499996
1700_USA-road-d.COL.gr,601.3387310504913,32664.00585,32624.625428571428
1700_USA-road-d.NY.gr,6.544682025909424,53855.03673,53855.03673
1800_USA-road-d.BAY.gr,1.7604320049285889,60038.01921,60038.01921
1800_USA-road-d.COL.gr,30.151945114135742,34075.005320000004,34075.005320000004
1800_USA-road-d.NY.gr,23.673207998275757,56484.04268,56484.04268
180_USA-road-d.BAY.gr,0.06997108459472656,10983.00566,10983.00566
180_USA-road-d.COL.gr,0.4004058837890625,22841.019170000003,22840.994130000003
180_USA-road-d.NY.gr,1.0819201469421387,19964.02119,19963.92194
1900_USA-road-d.BAY.gr,70.38403010368347,64697.03892,64695.42338089287
1900_USA-road-d.COL.gr,56.52121019363403,34075.00535,34075.00535
1900_USA-road-d.NY.gr,7.193434000015259,56484.04502,56484.04502
2000_USA-road-d.BAY.gr,226.5166211128235,56536.03658,56530.8239764407
