instance, time, obj, bounds, iter23, iter24, chemin
450_USA-road-d.NY.gr,119.11087489128113,47080.700000000004,47080.700000000004,0,5,79/ 102/ 105/ 109/ 149/ 182/ 240/ 279/ 342/ 347/ 361/ 363/ 381/ 431/ 435/ 439/ 448/ 449
1600_USA-road-d.COL.gr,122.95080709457397,42505.7,42505.7,0,1,88/ 185/ 448/ 479/ 538/ 759/ 767/ 774/ 1053/ 1081/ 1352/ 1398/ 1401/ 1437/ 1487
500_USA-road-d.BAY.gr,163.62731385231018,38097.93,38097.93,2,5,84/ 105/ 109/ 269/ 284/ 287/ 358/ 393/ 445/ 465/ 466/ 476/ 481
500_USA-road-d.COL.gr,527.557904958725,39224.0,39224.0,0,9,20/ 31/ 46/ 65/ 83/ 121/ 134/ 189/ 192/ 218/ 281/ 317/ 352/ 389/ 396
1600_USA-road-d.NY.gr,396.0222840309143,66475.47,66475.47,4,3,240/ 280/ 298/ 326/ 579/ 581/ 621/ 855/ 866/ 923/ 1044/ 1070/ 1108/ 1133/ 1171/ 1190/ 1240/ 1248/ 1288/ 1307/ 1463/ 1547/ 1554
160_USA-road-d.BAY.gr,66.33423495292664,13395.74,13395.74,0,1,3/ 16/ 74/ 83/ 89/ 100/ 105/ 124/ 159
500_USA-road-d.NY.gr,60.413208961486816,48093.44,48093.44,4,3,108/ 117/ 120/ 174/ 183/ 197/ 240/ 313/ 335/ 364/ 393/ 434/ 439/ 458/ 461/ 463/ 466/ 488/ 490
2100_USA-road-d.BAY.gr,697.9504861831665,72173.12999999999,72170.26043478261,8,6,559/ 858/ 860/ 888/ 1016/ 1093/ 1213/ 1299/ 1373/ 1424/ 1459/ 1489/ 1638/ 1735/ 1740/ 1788/ 1789/ 1879/ 1948/ 1962/ 2015/ 2018/ 2038/ 2087
550_USA-road-d.BAY.gr,18.208495140075684,22317.239999999998,22317.239999999998,0,1,50/ 89/ 133/ 191/ 237/ 285/ 362/ 373/ 381/ 390/ 413/ 426/ 447/ 537
550_USA-road-d.COL.gr,126.07688689231873,39224.0,39221.2595494028,0,10,1/ 4/ 25/ 45/ 46/ 83/ 87/ 161/ 192/ 216/ 283/ 312/ 317/ 352/ 389
550_USA-road-d.NY.gr,225.8120138645172,47814.36,47814.36,4,4,32/ 51/ 85/ 108/ 120/ 184/ 187/ 281/ 313/ 335/ 353/ 393/ 407/ 458/ 461/ 463/ 488/ 522/ 549
2100_USA-road-d.COL.gr,216.63436198234558,43998.7,43998.7,0,1,88/ 172/ 178/ 249/ 482/ 555/ 967/ 1007/ 1030/ 1043/ 1430/ 1531/ 1837/ 1924/ 2013/ 2048
2100_USA-road-d.NY.gr,126.75894618034363,123256.84999999999,123256.84999999999,2,2,326/ 360/ 478/ 493/ 621/ 625/ 728/ 737/ 855/ 923/ 1044/ 1108/ 1134/ 1171/ 1209/ 1226/ 1288/ 1327/ 1411/ 1434/ 1437/ 1463/ 1484/ 1559/ 1724/ 1740/ 1756/ 1785/ 1824/ 1850/ 1927/ 1974/ 2030
2200_USA-road-d.BAY.gr,958.4233980178833,77539.19,77539.19,8,4,424/ 562/ 825/ 993/ 1065/ 1338/ 1400/ 1497/ 1533/ 1534/ 1564/ 1572/ 1577/ 1580/ 1621/ 1627/ 1641/ 1727/ 1891/ 1898/ 1948/ 2073/ 2087/ 2128/ 2129/ 2179/ 2187
2200_USA-road-d.COL.gr,523.9437248706818,48962.93,48962.93,2,2,88/ 212/ 338/ 361/ 591/ 669/ 833/ 946/ 1353/ 1487/ 1932/ 1935/ 1997/ 2006/ 2018/ 2033/ 2153
2200_USA-road-d.NY.gr,843.8760468959808,101942.0,64686.47,4,2,360/ 621/ 625/ 694/ 855/ 856/ 866/ 1092/ 1108/ 1163/ 1248/ 1281/ 1431/ 1437/ 1450/ 1463/ 1599/ 1678/ 1739/ 1740/ 1785/ 1804/ 1810/ 1824/ 1850/ 1869/ 1904/ 1927/ 1928/ 1956/ 1974/ 2021/ 2042
2300_USA-road-d.BAY.gr,95.98887991905212,77192.09999999999,77192.09999999999,2,2,424/ 510/ 581/ 939/ 1097/ 1122/ 1340/ 1409/ 1456/ 1489/ 1639/ 1673/ 1788/ 1789/ 1792/ 1878/ 2026/ 2087/ 2089/ 2090/ 2137/ 2178/ 2230/ 2233/ 2276/ 2300
2300_USA-road-d.COL.gr,642.8607361316681,48374.28,48374.28,2,2,88/ 104/ 112/ 172/ 235/ 249/ 580/ 613/ 658/ 793/ 825/ 1079/ 1367/ 1935/ 2235/ 2272/ 2299/ 2300
1000_USA-road-d.BAY.gr,1507.4350972175598,48250.0,41383.33,2,3,205/ 216/ 231/ 328/ 414/ 424/ 438/ 553/ 614/ 642/ 659/ 698/ 878/ 882/ 965/ 993/ 994
