instance,time,ubound,nb_iter
1000_USA-road-d.BAY.gr,9.190774917602539,48250.00000000001,1
1000_USA-road-d.COL.gr,12.444109916687012,29672.76,1
1000_USA-road-d.NY.gr,5.415889024734497,43329.049999999996,1
100_USA-road-d.BAY.gr,0.14609289169311523,10857.06,1
100_USA-road-d.COL.gr,0.11651492118835449,25320.15,1
100_USA-road-d.NY.gr,0.1186368465423584,33931.04,0
1100_USA-road-d.BAY.gr,7.841328859329224,70226.31999999999,1
1100_USA-road-d.COL.gr,8.928642988204956,42766.5,0
1100_USA-road-d.NY.gr,6.430845022201538,71656.23000000001,0
1200_USA-road-d.BAY.gr,7.9856579303741455,76338.22,0
1200_USA-road-d.COL.gr,10.811629056930542,42766.5,0
1200_USA-road-d.NY.gr,7.574815988540649,72565.98999999999,0
120_USA-road-d.BAY.gr,0.24116802215576172,12218.98,1
120_USA-road-d.COL.gr,0.1872110366821289,25582.600000000002,1
120_USA-road-d.NY.gr,0.1656651496887207,31592.039999999997,0
1300_USA-road-d.BAY.gr,8.715214967727661,76715.79,1
1300_USA-road-d.COL.gr,12.403466939926147,42505.7,0
1300_USA-road-d.NY.gr,9.59202790260315,67883.94,1
1400_USA-road-d.BAY.gr,10.704965114593506,79995.28000000001,1
1400_USA-road-d.COL.gr,13.96921992301941,42505.7,0
1400_USA-road-d.NY.gr,10.624664068222046,67883.94,1
140_USA-road-d.BAY.gr,0.23122501373291016,15643.660000000002,0
140_USA-road-d.COL.gr,0.297260046005249,24651.02,1
140_USA-road-d.NY.gr,0.21220707893371582,33079.16,1
1500_USA-road-d.BAY.gr,11.890788793563843,79484.42,0
1500_USA-road-d.COL.gr,15.61464810371399,42505.7,0
1500_USA-road-d.NY.gr,11.421357870101929,66475.47,0
1600_USA-road-d.BAY.gr,12.0469388961792,81914.42,0
1600_USA-road-d.COL.gr,18.1783709526062,42505.7,0
1600_USA-road-d.NY.gr,12.681830167770386,66475.47,0
160_USA-road-d.BAY.gr,0.31366610527038574,13395.74,1
160_USA-road-d.COL.gr,0.25739002227783203,24651.02,1
