instance,time,ubound,nb_iter,chemin
700_USA-road-d.COL.gr,1.3263590335845947,40083.82000000001,1,83/ 559/ 215/ 578/ 292/ 247/ 306/ 126/ 423/ 462/ 179/ 159/ 211/ 352/ 389
700_USA-road-d.NY.gr,0.27957582473754883,55303.06,3,576/ 385/ 596/ 534/ 514/ 686/ 681/ 498/ 611/ 347/ 127/ 234/ 304/ 483/ 260/ 481/ 621
1100_USA-road-d.COL.gr,1.867811918258667,42766.5,0,88/ 238/ 331/ 212/ 205/ 568/ 406/ 599/ 652/ 345/ 1043/ 528/ 554/ 529/ 1053
750_USA-road-d.BAY.gr,0.6808068752288818,50078.310000000005,11,664/ 534/ 514/ 615/ 212/ 321/ 570/ 358/ 531/ 493/ 611/ 184/ 336/ 700/ 676/ 602/ 695/ 677
1100_USA-road-d.NY.gr,0.4883849620819092,70898.23000000001,1,621/ 646/ 721/ 1053/ 917/ 589/ 1017/ 442/ 507/ 866/ 697/ 585/ 641/ 696/ 581/ 324/ 928/ 443/ 959/ 1095/ 1066
1200_USA-road-d.BAY.gr,0.5773680210113525,76338.22,0,1099/ 1082/ 1115/ 1018/ 990/ 1046/ 975/ 454/ 859/ 1045/ 414/ 888/ 438/ 581/ 861/ 902/ 1159/ 860/ 1097/ 862/ 1123/ 826/ 1177
1700_USA-road-d.COL.gr,5.578675031661987,42505.7,0,88/ 238/ 213/ 188/ 1281/ 1635/ 747/ 659/ 1693/ 782/ 1249/ 269/ 309/ 1398/ 1053
750_USA-road-d.COL.gr,1.2827668190002441,40083.82000000001,1,83/ 431/ 489/ 578/ 393/ 333/ 279/ 658/ 343/ 520/ 59/ 641/ 211/ 352/ 389
750_USA-road-d.NY.gr,0.20193696022033691,70898.23000000001,0,621/ 478/ 517/ 618/ 643/ 450/ 242/ 694/ 717/ 716/ 697/ 326/ 392/ 240/ 360/ 444/ 651/ 443/ 578/ 691/ 707
1700_USA-road-d.NY.gr,0.7979741096496582,66475.47,0,1133/ 1390/ 1364/ 721/ 1237/ 617/ 1108/ 1070/ 694/ 855/ 866/ 1463/ 585/ 906/ 582/ 1223/ 1683/ 1176/ 1240/ 1547/ 1554/ 1555/ 1307
800_USA-road-d.BAY.gr,0.638355016708374,40441.96,8,588/ 569/ 422/ 267/ 661/ 764/ 535/ 795/ 765/ 794/ 136/ 680/ 479/ 796/ 766
1200_USA-road-d.COL.gr,2.0245320796966553,42766.5,0,88/ 238/ 471/ 536/ 361/ 207/ 907/ 793/ 293/ 245/ 938/ 528/ 1000/ 1001/ 1053
1800_USA-road-d.BAY.gr,1.5260748863220215,72086.61000000002,2,1627/ 1379/ 1451/ 1328/ 1487/ 1301/ 1158/ 520/ 889/ 1776/ 888/ 438/ 1636/ 898/ 1740/ 770/ 1372/ 1579/ 1215/ 1535/ 1177/ 1456/ 1788
1200_USA-road-d.NY.gr,0.4033989906311035,72565.98999999999,0,1066/ 1095/ 578/ 938/ 359/ 1153/ 360/ 910/ 906/ 585/ 697/ 866/ 855/ 442/ 1070/ 1117/ 1082/ 477/ 875/ 478/ 722/ 1144
120_USA-road-d.BAY.gr,0.04252195358276367,12218.98,2,74/ 41/ 3/ 55/ 16/ 79/ 59/ 105
120_USA-road-d.COL.gr,0.02475905418395996,25582.600000000002,4,81/ 59/ 62/ 103/ 52/ 29/ 106/ 93/ 76/ 116/ 117/ 83
