instance,time,ubound, nb_iter,chemin
2300_USA-road-d.NY.gr,3.089608907699585,123256.84999999999,0,1785/ 1756/ 1555/ 1554/ 1806/ 1240/ 579/ 1421/ 1705/ 582/ 1810/ 856/ 697/ 866/ 507/ 1044/ 1070/ 1108/ 1082/ 1281/ 517/ 1054/ 2248/ 2042/ 1599/ 728/ 1057/ 1781/ 1753/ 1899/ 1418/ 1928/ 1974
160_USA-road-d.NY.gr,0.021855831146240234,32640.039999999997,0,120/ 54/ 41/ 11/ 124/ 108/ 102/ 123/ 142/ 154
1000_USA-road-d.BAY.gr,4.221557855606079,71133.86,4,659/ 657/ 799/ 978/ 976/ 888/ 502/ 490/ 975/ 884/ 218/ 559/ 875/ 943/ 992/ 520/ 918/ 754/ 786/ 993
600_USA-road-d.BAY.gr,4.263202905654907,48300.0,5,269/ 545/ 458/ 474/ 273/ 423/ 565/ 381/ 393/ 511/ 570/ 109/ 465/ 514/ 534/ 589/ 569/ 588
600_USA-road-d.COL.gr,0.46956300735473633,40845.5,0,83/ 559/ 489/ 308/ 214/ 373/ 458/ 180/ 574/ 201/ 595/ 346/ 260/ 389
600_USA-road-d.NY.gr,0.1558530330657959,86185.34999999999,0,463/ 521/ 510/ 464/ 582/ 494/ 428/ 426/ 423/ 322/ 504/ 141/ 546/ 142/ 147/ 528/ 491/ 489/ 280/ 488
60_USA-road-d.BAY.gr,0.004643917083740234,10633.33,0,21/ 39/ 42/ 10/ 44/ 59
60_USA-road-d.COL.gr,0.031973838806152344,28910.780000000002,3,53/ 30/ 56/ 50/ 23/ 10/ 55/ 45/ 60
60_USA-road-d.NY.gr,0.007634878158569336,31775.839999999997,0,39/ 60/ 48/ 46/ 47/ 59/ 56
1700_USA-road-d.BAY.gr,1.2149391174316406,70557.79000000001,0,1456/ 1545/ 1161/ 1459/ 1225/ 502/ 938/ 1159/ 1692/ 1639/ 457/ 1674/ 424/ 330/ 1244/ 1213/ 1457/ 1424/ 1265/ 1402/ 1451/ 1572/ 1627
1000_USA-road-d.COL.gr,1.124154806137085,38423.259999999995,0,213/ 237/ 687/ 681/ 977/ 659/ 609/ 110/ 292/ 564/ 246/ 280/ 543/ 576/ 666
650_USA-road-d.BAY.gr,0.4770488739013672,48300.0,5,269/ 602/ 458/ 349/ 641/ 143/ 476/ 381/ 393/ 358/ 445/ 321/ 250/ 279/ 534/ 589/ 569/ 588
650_USA-road-d.COL.gr,0.46724390983581543,40845.5,0,83/ 559/ 215/ 578/ 292/ 492/ 236/ 332/ 351/ 304/ 469/ 281/ 260/ 389
1000_USA-road-d.NY.gr,0.557265043258667,71088.80000000002,2,576/ 454/ 751/ 990/ 320/ 640/ 360/ 910/ 280/ 585/ 697/ 864/ 854/ 694/ 584/ 328/ 510/ 863/ 517/ 759/ 621
100_USA-road-d.BAY.gr,0.014956951141357422,10857.06,1,59/ 44/ 16/ 11/ 14/ 41/ 74
100_USA-road-d.COL.gr,0.009252071380615234,25320.15,3,81/ 59/ 62/ 32/ 74/ 79/ 92/ 93/ 97/ 49/ 71/ 83
100_USA-road-d.NY.gr,0.006918907165527344,33931.04,0,51/ 42/ 54/ 15/ 7/ 16/ 68/ 55/ 96
2400_USA-road-d.BAY.gr,2.298336982727051,77192.09999999999,0,1788/ 1735/ 1177/ 1743/ 1459/ 1900/ 502/ 1411/ 503/ 2089/ 2027/ 457/ 946/ 1272/ 330/ 1621/ 520/ 1962/ 1898/ 1913/ 1891/ 2178/ 2277/ 1627/ 2276/ 2300
650_USA-road-d.NY.gr,0.21787214279174805,68379.91,1,576/ 385/ 382/ 335/ 247/ 288/ 598/ 289/ 322/ 546/ 193/ 505/ 371/ 480/ 646/ 621
700_USA-road-d.BAY.gr,0.3281548023223877,60874.020000000004,2,664/ 646/ 645/ 590/ 502/ 535/ 540/ 531/ 287/ 373/ 537/ 686/ 682/ 667/ 700/ 458/ 684/ 677
1100_USA-road-d.BAY.gr,0.8028559684753418,82475.0,1,820/ 616/ 896/ 792/ 970/ 1097/ 582/ 901/ 902/ 861/ 457/ 850/ 424/ 926/ 989/ 859/ 454/ 975/ 786/ 697/ 890/ 1038/ 1082/ 1099
700_USA-road-d.COL.gr,0.4991118907928467,40845.5,0,83/ 559/ 215/ 578/ 292/ 247/ 306/ 126/ 351/ 179/ 159/ 211/ 352/ 389
700_USA-road-d.NY.gr,0.1759650707244873,68379.91,1,576/ 385/ 596/ 534/ 514/ 686/ 681/ 498/ 611/ 347/ 127/ 234/ 220/ 622/ 478/ 621
750_USA-road-d.BAY.gr,0.5655591487884521,61068.46000000001,1,664/ 646/ 645/ 590/ 450/ 570/ 358/ 531/ 493/ 512/ 537/ 479/ 682/ 667/ 724/ 678/ 684/ 677
1700_USA-road-d.COL.gr,3.3144919872283936,42505.7,0,88/ 238/ 213/ 188/ 1281/ 1635/ 747/ 659/ 1693/ 782/ 1249/ 269/ 309/ 1398/ 1053
750_USA-road-d.COL.gr,0.5115041732788086,40845.5,0,83/ 431/ 489/ 578/ 393/ 333/ 279/ 658/ 702/ 59/ 641/ 211/ 352/ 389
1100_USA-road-d.COL.gr,1.3283638954162598,42766.5,0,88/ 238/ 331/ 212/ 205/ 568/ 406/ 599/ 652/ 345/ 1043/ 528/ 554/ 529/ 1053
750_USA-road-d.NY.gr,0.39090800285339355,70898.23000000001,0,621/ 478/ 517/ 618/ 643/ 450/ 242/ 694/ 717/ 716/ 697/ 326/ 392/ 240/ 360/ 444/ 651/ 443/ 578/ 691/ 707
1100_USA-road-d.NY.gr,0.5869009494781494,70898.23000000001,1,621/ 646/ 721/ 1053/ 917/ 589/ 1017/ 442/ 507/ 866/ 697/ 585/ 641/ 696/ 581/ 324/ 928/ 443/ 959/ 1095/ 1066
800_USA-road-d.BAY.gr,0.28188109397888184,64548.46000000001,1,588/ 569/ 589/ 669/ 664/ 646/ 481/ 590/ 360/ 535/ 795/ 765/ 794/ 779/ 785/ 479/ 796/ 766
1700_USA-road-d.NY.gr,1.1249480247497559,66475.47,0,1133/ 1390/ 1364/ 721/ 1237/ 617/ 1108/ 1070/ 694/ 855/ 866/ 1463/ 585/ 906/ 582/ 1223/ 1683/ 1176/ 1240/ 1547/ 1554/ 1555/ 1307
1200_USA-road-d.BAY.gr,0.6702640056610107,76338.22,0,1099/ 1082/ 1115/ 1018/ 990/ 1046/ 975/ 454/ 859/ 1045/ 414/ 888/ 438/ 581/ 861/ 902/ 1159/ 860/ 1097/ 862/ 1123/ 826/ 1177
800_USA-road-d.COL.gr,0.6256871223449707,40845.5,0,83/ 431/ 394/ 779/ 502/ 492/ 458/ 525/ 659/ 698/ 641/ 281/ 601/ 389
800_USA-road-d.NY.gr,0.40755486488342285,70898.23000000001,0,621/ 478/ 517/ 750/ 700/ 227/ 440/ 694/ 717/ 716/ 697/ 585/ 280/ 787/ 581/ 714/ 496/ 323/ 712/ 758/ 707
80_USA-road-d.BAY.gr,0.00884389877319336,10857.06,1,59/ 44/ 48/ 42/ 25/ 41/ 74
80_USA-road-d.COL.gr,0.010921001434326172,22378.51,0,46/ 65/ 64/ 60/ 69/ 71/ 78/ 76
80_USA-road-d.NY.gr,0.0059299468994140625,31775.839999999997,0,39/ 15/ 38/ 46/ 68/ 59/ 56
850_USA-road-d.BAY.gr,0.2952558994293213,66167.86,3,659/ 657/ 799/ 541/ 792/ 771/ 825/ 490/ 503/ 562/ 600/ 850/ 424/ 414/ 405/ 520/ 817/ 754/ 786
1800_USA-road-d.BAY.gr,1.062157154083252,72511.79000000001,1,1627/ 1379/ 1451/ 1328/ 1487/ 1301/ 1158/ 520/ 889/ 1776/ 888/ 438/ 457/ 861/ 1692/ 1740/ 770/ 1372/ 1579/ 1215/ 1535/ 1177/ 1456/ 1788
1200_USA-road-d.COL.gr,1.2204809188842773,42766.5,0,88/ 238/ 471/ 536/ 361/ 207/ 907/ 793/ 293/ 245/ 938/ 528/ 1000/ 1001/ 1053
850_USA-road-d.COL.gr,0.5614039897918701,38423.259999999995,0,213/ 237/ 233/ 783/ 406/ 628/ 247/ 185/ 658/ 330/ 354/ 493/ 724/ 576/ 666
850_USA-road-d.NY.gr,0.4089481830596924,68379.91,1,576/ 385/ 596/ 534/ 514/ 462/ 248/ 639/ 516/ 475/ 543/ 505/ 504/ 724/ 759/ 621
1200_USA-road-d.NY.gr,0.5516550540924072,72565.98999999999,0,1066/ 1095/ 578/ 938/ 359/ 1153/ 360/ 910/ 906/ 585/ 697/ 866/ 855/ 442/ 1070/ 1117/ 1082/ 477/ 875/ 478/ 722/ 1144
120_USA-road-d.BAY.gr,0.020759105682373047,12904.820000000002,1,74/ 41/ 3/ 55/ 16/ 99/ 116/ 105
120_USA-road-d.COL.gr,0.012164831161499023,31065.539999999997,1,81/ 59/ 108/ 100/ 101/ 106/ 93/ 76/ 116/ 117/ 83
120_USA-road-d.NY.gr,0.010400056838989258,31592.039999999997,0,110/ 96/ 55/ 97/ 16/ 117/ 60/ 54/ 120
2400_USA-road-d.COL.gr,5.620380878448486,50172.479999999996,2,88/ 720/ 213/ 312/ 275/ 2050/ 2170/ 903/ 1327/ 61/ 481/ 946/ 2150/ 2006/ 1410/ 2033/ 2153/ 2272
900_USA-road-d.BAY.gr,0.3884909152984619,75874.86,4,820/ 799/ 541/ 792/ 888/ 825/ 886/ 503/ 884/ 218/ 595/ 577/ 516/ 510/ 520/ 817/ 698/ 846/ 697/ 876/ 845/ 854
1300_USA-road-d.BAY.gr,0.8884048461914062,76715.79,2,1099/ 1150/ 1115/ 890/ 1243/ 1046/ 1084/ 1288/ 1273/ 1158/ 969/ 989/ 414/ 963/ 559/ 823/ 1160/ 1237/ 671/ 938/ 1097/ 970/ 939/ 826/ 1177
900_USA-road-d.COL.gr,0.8764469623565674,38423.259999999995,0,213/ 237/ 233/ 783/ 660/ 138/ 652/ 228/ 150/ 653/ 679/ 117/ 319/ 576/ 666
900_USA-road-d.NY.gr,0.25095510482788086,71088.80000000002,2,576/ 703/ 751/ 592/ 496/ 640/ 581/ 396/ 108/ 585/ 697/ 864/ 507/ 442/ 584/ 227/ 245/ 618/ 721/ 478/ 621
1800_USA-road-d.COL.gr,3.1894638538360596,42505.7,0,88/ 931/ 1290/ 467/ 1708/ 1352/ 1533/ 1599/ 1601/ 825/ 1679/ 330/ 696/ 1001/ 1053
2400_USA-road-d.NY.gr,2.0735549926757812,71974.35,0,1785/ 1617/ 2355/ 1852/ 595/ 1309/ 1556/ 1592/ 2350/ 2368/ 1584/ 1918/ 1414/ 1799/ 2061/ 2369/ 1952/ 1676/ 2319/ 2336/ 2353/ 2320/ 1974
950_USA-road-d.BAY.gr,0.34069013595581055,75874.86,4,820/ 616/ 925/ 792/ 888/ 931/ 770/ 671/ 658/ 600/ 331/ 577/ 330/ 732/ 520/ 918/ 698/ 846/ 697/ 876/ 845/ 854
1300_USA-road-d.COL.gr,1.5225861072540283,42505.7,0,88/ 189/ 1238/ 188/ 172/ 1114/ 747/ 793/ 534/ 245/ 828/ 564/ 479/ 529/ 1053
1300_USA-road-d.NY.gr,0.8817219734191895,67883.94,1,1144/ 1118/ 646/ 1183/ 1243/ 617/ 1117/ 1070/ 1093/ 1068/ 866/ 697/ 856/ 108/ 240/ 581/ 444/ 579/ 1235/ 1223/ 1284/ 691/ 1271/ 1296
1800_USA-road-d.NY.gr,1.2002580165863037,69098.25,1,1133/ 621/ 478/ 1171/ 477/ 1559/ 1772/ 1740/ 1720/ 855/ 866/ 1463/ 585/ 447/ 1450/ 360/ 640/ 1176/ 1240/ 1226/ 1554/ 1555/ 1756/ 1785
950_USA-road-d.COL.gr,1.0918669700622559,38423.259999999995,0,213/ 237/ 687/ 833/ 862/ 901/ 293/ 505/ 209/ 388/ 530/ 280/ 724/ 710/ 666
180_USA-road-d.BAY.gr,0.1683330535888672,14081.580000000002,1,74/ 41/ 129/ 42/ 34/ 40/ 166/ 138/ 159
180_USA-road-d.COL.gr,0.017683982849121094,36557.45,0,83/ 176/ 139/ 166/ 165/ 101/ 126/ 108/ 99/ 159/ 161
180_USA-road-d.NY.gr,0.02019810676574707,32640.039999999997,0,120/ 122/ 119/ 63/ 88/ 97/ 114/ 96/ 142/ 154
950_USA-road-d.NY.gr,0.596484899520874,71088.80000000002,2,576/ 454/ 751/ 265/ 359/ 324/ 916/ 325/ 392/ 855/ 697/ 864/ 507/ 694/ 440/ 911/ 245/ 477/ 517/ 646/ 621
1400_USA-road-d.BAY.gr,0.9614720344543457,79995.28000000001,1,1177/ 1161/ 939/ 1093/ 760/ 770/ 901/ 1237/ 861/ 581/ 559/ 963/ 516/ 510/ 859/ 1367/ 1332/ 1288/ 1084/ 1153/ 1127/ 1152/ 1224/ 1363/ 1323/ 1338
2500_USA-road-d.BAY.gr,2.395113945007324,73974.15999999999,0,2222/ 2172/ 1862/ 1915/ 2193/ 2180/ 2299/ 1367/ 859/ 1906/ 2269/ 2327/ 1569/ 1974/ 861/ 1684/ 2365/ 860/ 2364/ 970/ 1123/ 1161/ 2176/ 2225/ 2283/ 2405
1900_USA-road-d.BAY.gr,1.2208619117736816,76729.59000000001,1,1580/ 1641/ 1793/ 1215/ 1093/ 1458/ 770/ 671/ 562/ 1120/ 1674/ 963/ 414/ 889/ 1422/ 993/ 1898/ 1363/ 1249/ 1890/ 1572/ 1727/ 1679/ 1834
