instance,time,ubound,nb_iter
1000_USA-road-d.BAY.gr,7.931903123855591,71133.86,4
1000_USA-road-d.COL.gr,1.216486930847168,38423.259999999995,0
1000_USA-road-d.NY.gr,0.5439088344573975,71088.80000000002,2
100_USA-road-d.BAY.gr,0.02950286865234375,10857.06,1
100_USA-road-d.COL.gr,0.028137922286987305,25320.15,3
100_USA-road-d.NY.gr,0.05479288101196289,33931.04,0
1100_USA-road-d.BAY.gr,1.3842430114746094,82475.0,1
1100_USA-road-d.COL.gr,1.766327142715454,42766.5,0
1100_USA-road-d.NY.gr,0.6704921722412109,70898.23000000001,1
1200_USA-road-d.BAY.gr,2.393489122390747,76338.22,0
1200_USA-road-d.COL.gr,5.097434043884277,42766.5,0
1200_USA-road-d.NY.gr,1.0677821636199951,72565.98999999999,0
120_USA-road-d.BAY.gr,0.03802895545959473,12904.820000000002,1
120_USA-road-d.COL.gr,0.028276920318603516,31065.539999999997,1
120_USA-road-d.NY.gr,0.23578715324401855,31592.039999999997,0
1300_USA-road-d.BAY.gr,2.8192999362945557,76715.79,2
1300_USA-road-d.COL.gr,5.681988954544067,42505.7,0
1300_USA-road-d.NY.gr,0.7833921909332275,67883.94,1
1400_USA-road-d.BAY.gr,2.4026660919189453,79995.28000000001,1
1400_USA-road-d.COL.gr,5.363494873046875,42505.7,0
1400_USA-road-d.NY.gr,0.9327619075775146,67883.94,1
140_USA-road-d.BAY.gr,0.2911090850830078,15643.660000000002,0
140_USA-road-d.COL.gr,0.03446507453918457,24651.02,2
140_USA-road-d.NY.gr,0.03924202919006348,39267.79,0
1500_USA-road-d.BAY.gr,1.688053846359253,79379.73000000001,1
1500_USA-road-d.COL.gr,5.454933166503906,42505.7,0
1500_USA-road-d.NY.gr,1.059999942779541,66475.47,0
1600_USA-road-d.BAY.gr,1.6573519706726074,81809.73000000001,1
1600_USA-road-d.COL.gr,6.404682874679565,42505.7,0
1600_USA-road-d.NY.gr,1.2720329761505127,66475.47,0
160_USA-road-d.BAY.gr,0.03293800354003906,14081.580000000002,1
160_USA-road-d.COL.gr,0.0223541259765625,24651.02,2
160_USA-road-d.NY.gr,0.02524709701538086,32640.039999999997,0
1700_USA-road-d.BAY.gr,2.001132011413574,70557.79000000001,0
1700_USA-road-d.COL.gr,7.82495903968811,42505.7,0
1700_USA-road-d.NY.gr,1.6058940887451172,66475.47,0
1800_USA-road-d.BAY.gr,2.730323076248169,72086.61000000002,2
1800_USA-road-d.COL.gr,7.963684797286987,42505.7,0
1800_USA-road-d.NY.gr,1.45135498046875,69098.25,1
180_USA-road-d.BAY.gr,0.03910708427429199,14081.580000000002,1
180_USA-road-d.COL.gr,0.02744603157043457,36557.45,0
180_USA-road-d.NY.gr,0.0302121639251709,32640.039999999997,0
1900_USA-road-d.BAY.gr,1.8968749046325684,76729.59000000001,1
1900_USA-road-d.COL.gr,11.713344097137451,42505.7,0
1900_USA-road-d.NY.gr,2.72829008102417,69098.25,0
2000_USA-road-d.BAY.gr,3.0480778217315674,67603.99999999999,0
2000_USA-road-d.COL.gr,10.399890899658203,50172.479999999996,0
2000_USA-road-d.NY.gr,3.191542863845825,67589.59,1
200_USA-road-d.BAY.gr,0.05024099349975586,14081.580000000002,1
200_USA-road-d.COL.gr,0.028868913650512695,37623.45,0
200_USA-road-d.NY.gr,0.07737994194030762,37332.26,0
20_USA-road-d.BAY.gr,0.006186962127685547,15332.560000000001,1
20_USA-road-d.COL.gr,0.0027229785919189453,7076.52,0
20_USA-road-d.NY.gr,0.0015780925750732422,9454.470000000001,1
2100_USA-road-d.BAY.gr,6.463688850402832,72250.15999999999,0
2100_USA-road-d.COL.gr,11.17719292640686,43998.7,0
2100_USA-road-d.NY.gr,2.418653964996338,123256.84999999999,1
2200_USA-road-d.BAY.gr,4.425254821777344,80869.20999999999,2
2200_USA-road-d.COL.gr,16.316280126571655,48962.93,0
2200_USA-road-d.NY.gr,2.347446918487549,123256.84999999999,1
2300_USA-road-d.BAY.gr,3.6917049884796143,77192.09999999999,0
2300_USA-road-d.COL.gr,9.815163850784302,50172.479999999996,0
2300_USA-road-d.NY.gr,2.9084699153900146,123256.84999999999,0
2400_USA-road-d.BAY.gr,4.065966844558716,77192.09999999999,0
2400_USA-road-d.COL.gr,18.48096013069153,50172.479999999996,2
2400_USA-road-d.NY.gr,3.151655912399292,71974.35,0
2500_USA-road-d.BAY.gr,6.22949481010437,73897.13,1
2500_USA-road-d.COL.gr,19.165655851364136,55495.16,0
2500_USA-road-d.NY.gr,3.986375093460083,71974.35,0
250_USA-road-d.BAY.gr,0.1946089267730713,19247.969999999998,0
250_USA-road-d.COL.gr,0.20737910270690918,34677.409999999996,0
250_USA-road-d.NY.gr,0.13015103340148926,58663.38,1
300_USA-road-d.BAY.gr,0.5137708187103271,21954.18,2
300_USA-road-d.COL.gr,0.5382330417633057,36488.409999999996,0
300_USA-road-d.NY.gr,0.13665294647216797,59376.17,0
350_USA-road-d.BAY.gr,0.2885308265686035,21954.18,2
350_USA-road-d.COL.gr,0.26119184494018555,39395.56,1
350_USA-road-d.NY.gr,0.17122793197631836,45262.89,0
400_USA-road-d.BAY.gr,0.28095197677612305,32288.360000000004,5
400_USA-road-d.COL.gr,0.5928499698638916,40845.5,0
400_USA-road-d.NY.gr,0.15091300010681152,45262.89,0
40_USA-road-d.BAY.gr,0.11240196228027344,12664.33,1
40_USA-road-d.COL.gr,0.010293006896972656,15058.97,0
40_USA-road-d.NY.gr,0.01619410514831543,19099.500000000004,0
450_USA-road-d.BAY.gr,0.6844079494476318,32288.360000000004,6
450_USA-road-d.COL.gr,0.75046706199646,40845.5,0
450_USA-road-d.NY.gr,0.384307861328125,53381.09,0
500_USA-road-d.BAY.gr,0.3468339443206787,41929.57000000001,4
500_USA-road-d.COL.gr,1.0797348022460938,40845.5,0
500_USA-road-d.NY.gr,0.30933403968811035,77352.17,1
550_USA-road-d.BAY.gr,0.3689000606536865,48650.29,3
550_USA-road-d.COL.gr,0.6054260730743408,40845.5,0
550_USA-road-d.NY.gr,0.5382640361785889,76742.90999999999,1
600_USA-road-d.BAY.gr,0.5521690845489502,41762.27,7
600_USA-road-d.COL.gr,1.0863780975341797,40845.5,0
600_USA-road-d.NY.gr,0.3433659076690674,76742.90999999999,2
60_USA-road-d.BAY.gr,0.015580177307128906,10633.33,0
60_USA-road-d.COL.gr,0.14111900329589844,28910.780000000002,3
60_USA-road-d.NY.gr,0.019103050231933594,31775.839999999997,0
650_USA-road-d.BAY.gr,0.3964729309082031,41762.27,7
650_USA-road-d.COL.gr,1.5372450351715088,40845.5,0
650_USA-road-d.NY.gr,0.19416308403015137,68379.91,1
700_USA-road-d.BAY.gr,0.45281291007995605,60874.020000000004,2
700_USA-road-d.COL.gr,0.7795519828796387,40845.5,0
700_USA-road-d.NY.gr,0.2784841060638428,68379.91,1
750_USA-road-d.BAY.gr,0.5052790641784668,61068.46000000001,1
750_USA-road-d.COL.gr,1.1026060581207275,40845.5,0
750_USA-road-d.NY.gr,0.2538580894470215,70898.23000000001,0
800_USA-road-d.BAY.gr,0.876054048538208,64548.46000000001,1
800_USA-road-d.COL.gr,1.6131088733673096,40845.5,0
800_USA-road-d.NY.gr,0.25835394859313965,70898.23000000001,0
80_USA-road-d.BAY.gr,0.010838031768798828,10857.06,1
80_USA-road-d.COL.gr,0.016846895217895508,22378.51,0
80_USA-road-d.NY.gr,0.02315998077392578,31775.839999999997,0
850_USA-road-d.BAY.gr,0.4176769256591797,66167.86,3
850_USA-road-d.COL.gr,1.1785080432891846,38423.259999999995,0
850_USA-road-d.NY.gr,1.670619010925293,68379.91,1
900_USA-road-d.BAY.gr,0.9479238986968994,75874.86,4
900_USA-road-d.COL.gr,1.761460781097412,38423.259999999995,0
900_USA-road-d.NY.gr,0.3573799133300781,71088.80000000002,2
950_USA-road-d.BAY.gr,1.1729488372802734,75874.86,4
950_USA-road-d.COL.gr,2.459933042526245,38423.259999999995,0
950_USA-road-d.NY.gr,0.7738749980926514,71088.80000000002,2
