instance,time,ubound,nb_iter,chemin
1200_USA-road-d.BAY.gr,17.02091908454895,76338.22,0,1099/ 1082/ 1115/ 1018/ 990/ 1046/ 975/ 454/ 859/ 1045/ 414/ 888/ 438/ 581/ 861/ 902/ 1159/ 860/ 1097/ 862/ 1123/ 826/ 1177
2400_USA-road-d.BAY.gr,54.97042894363403,77192.09999999999,0,1788/ 1735/ 1177/ 1743/ 1459/ 1900/ 502/ 1411/ 503/ 2089/ 2027/ 457/ 946/ 1272/ 330/ 1621/ 520/ 1962/ 1898/ 1913/ 1891/ 2178/ 2277/ 1627/ 2276/ 2300
800_USA-road-d.NY.gr,8.876999139785767,43624.92,1,621/ 478/ 620/ 348/ 120/ 226/ 404/ 198/ 704/ 415/ 392/ 240/ 581/ 714/ 239/ 713/ 712/ 758/ 707
80_USA-road-d.BAY.gr,0.28679895401000977,10857.06,1,59/ 44/ 10/ 19/ 38/ 41/ 74
80_USA-road-d.COL.gr,0.2382218837738037,14277.49,1,46/ 55/ 31/ 28/ 69/ 71/ 78/ 76
80_USA-road-d.NY.gr,0.10251498222351074,31775.839999999997,0,39/ 15/ 38/ 46/ 68/ 59/ 56
850_USA-road-d.BAY.gr,11.314441919326782,42201.06,1,659/ 656/ 578/ 233/ 614/ 60/ 459/ 317/ 331/ 424/ 731/ 412/ 783/ 718/ 754/ 786
1200_USA-road-d.COL.gr,23.222543954849243,42766.5,0,88/ 238/ 471/ 536/ 361/ 207/ 907/ 793/ 293/ 245/ 938/ 528/ 1000/ 1001/ 1053
850_USA-road-d.COL.gr,13.28096890449524,29672.76,1,213/ 536/ 468/ 499/ 133/ 222/ 516/ 429/ 305/ 27/ 557/ 724/ 710/ 666
1800_USA-road-d.BAY.gr,39.313498973846436,72511.79000000001,1,1627/ 1785/ 1451/ 1328/ 1487/ 1301/ 1158/ 520/ 889/ 414/ 888/ 438/ 457/ 1639/ 1692/ 1740/ 770/ 502/ 1338/ 1215/ 1535/ 1177/ 1456/ 1788
850_USA-road-d.NY.gr,11.800743103027344,43329.049999999996,1,576/ 385/ 754/ 376/ 592/ 239/ 324/ 360/ 582/ 838/ 588/ 521/ 807/ 434/ 845/ 120/ 619/ 620/ 478/ 621
1200_USA-road-d.NY.gr,20.96309208869934,72565.98999999999,0,1066/ 1095/ 578/ 938/ 359/ 1153/ 360/ 910/ 906/ 585/ 697/ 866/ 855/ 442/ 1070/ 1117/ 1082/ 477/ 875/ 478/ 722/ 1144
120_USA-road-d.BAY.gr,0.36032605171203613,12218.98,1,74/ 41/ 38/ 71/ 16/ 79/ 100/ 105
120_USA-road-d.COL.gr,0.43324995040893555,25582.600000000002,1,81/ 59/ 90/ 5/ 52/ 119/ 92/ 93/ 97/ 78/ 71/ 83
120_USA-road-d.NY.gr,0.2831990718841553,31592.039999999997,0,110/ 96/ 55/ 97/ 16/ 117/ 60/ 54/ 120
900_USA-road-d.BAY.gr,13.182641983032227,54243.89,1,820/ 616/ 629/ 332/ 501/ 475/ 452/ 224/ 218/ 850/ 577/ 731/ 412/ 470/ 727/ 371/ 432/ 844/ 854
2400_USA-road-d.COL.gr,62.42467403411865,49019.12999999999,1,88/ 720/ 1353/ 237/ 1804/ 2050/ 2170/ 1188/ 1327/ 782/ 1056/ 774/ 1674/ 2202/ 2257/ 2234/ 2280/ 2273/ 2259/ 2272
1300_USA-road-d.BAY.gr,20.26318597793579,76715.79,1,1099/ 1150/ 1115/ 1018/ 1243/ 1116/ 1084/ 1288/ 1273/ 1158/ 969/ 1267/ 731/ 577/ 559/ 823/ 1160/ 1237/ 901/ 1024/ 994/ 970/ 939/ 826/ 1177
900_USA-road-d.COL.gr,16.150084972381592,29672.76,1,213/ 536/ 468/ 499/ 784/ 298/ 433/ 340/ 682/ 94/ 280/ 319/ 710/ 666
900_USA-road-d.NY.gr,10.4635648727417,43329.049999999996,1,576/ 385/ 754/ 376/ 592/ 239/ 324/ 360/ 325/ 108/ 71/ 306/ 148/ 434/ 818/ 120/ 619/ 620/ 759/ 621
1300_USA-road-d.COL.gr,28.278218984603882,42505.7,0,88/ 189/ 1238/ 188/ 172/ 1114/ 747/ 793/ 534/ 245/ 828/ 564/ 479/ 529/ 1053
950_USA-road-d.BAY.gr,13.701658964157104,54243.89,1,820/ 616/ 789/ 332/ 501/ 800/ 354/ 625/ 600/ 438/ 577/ 731/ 310/ 401/ 469/ 371/ 701/ 844/ 854
